Hour,InfectedMost,SpreadMost,NotDead,Dead,Infected,Quarantined
0,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
1,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
2,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
3,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
4,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
5,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
6,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
7,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
8,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
9,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
10,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
11,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
12,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
13,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
14,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
15,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
16,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
17,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
18,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
19,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
20,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
21,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
22,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
23,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
24,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
25,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
26,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
27,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
28,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
29,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
30,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
31,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
32,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
33,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
34,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
35,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
36,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
37,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
38,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
39,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
40,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
41,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
42,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
43,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
44,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
45,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
46,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
47,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
48,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
49,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
50,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
51,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
52,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
53,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
54,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
55,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
56,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
57,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
58,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
59,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
60,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
61,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
62,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
63,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
64,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
65,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
66,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
67,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
68,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
69,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
70,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
71,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
72,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
73,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
74,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
75,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
76,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
77,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
78,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
79,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
80,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
81,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
82,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
83,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
84,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
85,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
86,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
87,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
